tên_món,nguyên_liệu,grams,ghi_chú
Phở,Thịt bò,100,Thịt bò tái/chín
Phở,Bánh phở khô,80,Bánh phở khô (quy đổi ra chín ~200g)
Phở,Nước dùng bò,350,Nước dùng xương bò
Phở,Hành tây,20,Hành tây thái mỏng
Phở,Gừng,10,Gừng nướng cho vào nước dùng
Phở,Hành lá,10,Hành lá thái nhỏ
Phở,Rau mùi,5,Ngò rí làm đẹp
Phở,Giá đỗ,30,Giá đỗ tươi
Phở,Ớt,5,Ớt tươi tùy chọn
Phở,Tiêu đen,1,Tiêu xay
Phở,Chanh,20,Chanh vắt
Bánh mì,Bánh mì baguette,150,Vỏ bánh mì baguette
Bánh mì,Thịt ba chỉ,60,Thịt xá xíu / heo quay thái mỏng
Bánh mì,Pâté lợn,25,Pâté gan phết bên trong
Bánh mì,Chả lụa,20,Chả lụa thái lát
Bánh mì,Cà rốt,30,Cà rốt đồ chua
Bánh mì,Dưa chuột,40,Dưa leo tươi
Bánh mì,Rau mùi,10,Ngò rí
Bánh mì,Ớt,5,Ớt tươi
Bánh mì,Nước mắm,5,Nước mắm rưới nhẹ
Bún bò Huế,Thịt bò,80,Bắp bò thái lát
Bún bò Huế,Thịt ba chỉ,50,Giò heo / chân giò
Bún bò Huế,Bún khô,80,Bún sợi to (khô → chín ~200g)
Bún bò Huế,Nước dùng bò,300,Nước dùng mắm ruốc
Bún bò Huế,Mắm tôm,15,Mắm ruốc Huế cho vào nước dùng
Bún bò Huế,Tương ớt,10,Sa tế / ớt bột
Bún bò Huế,Sả,15,Sả đập dập
Bún bò Huế,Hành khô,20,Hành khô phi vàng
Bún bò Huế,Rau mùi,5,Ngò rí làm đẹp
Bún bò Huế,Chanh,30,Chanh vắt
Gỏi cuốn,Bánh tráng,30,Bánh tráng dẻo (3 cuốn ≈ 30g)
Gỏi cuốn,Tôm,60,Tôm luộc bóc vỏ
Gỏi cuốn,Thịt ba chỉ,40,Thịt ba chỉ luộc thái lát
Gỏi cuốn,Bún khô,30,Bún tươi
Gỏi cuốn,Xà lách,20,Xà lách
Gỏi cuốn,Rau muống,15,Rau muống chần
Gỏi cuốn,Rau thơm,10,Rau húng lủi
Gỏi cuốn,Rau mùi,5,Rau mùi
Gỏi cuốn,Đậu phộng,15,Đậu phộng giã nhỏ cho nước chấm
Gỏi cuốn,Mắm tôm,10,Mắm nêm / tương đen pha chấm
Bánh xèo,Bột gạo,80,Bột gạo pha bột bánh xèo
Bánh xèo,Nước cốt dừa,50,Nước cốt dừa vào bột
Bánh xèo,Nghệ,2,Bột nghệ tạo màu vàng
Bánh xèo,Tôm,60,Tôm tươi
Bánh xèo,Thịt ba chỉ,40,Thịt ba chỉ thái lát
Bánh xèo,Giá đỗ,50,Giá đỗ tươi
Bánh xèo,Hành tây,30,Hành tây thái mỏng
Bánh xèo,Dầu ăn,20,Dầu ăn chiên bánh
Bánh xèo,Xà lách,30,Xà lách cuốn khi ăn
Bánh bèo,Bột gạo,40,Bột gạo tráng bánh
Bánh bèo,Nước dùng gà,80,Nước dùng mặn nhạt
Bánh bèo,Tôm chấy,25,Tôm chấy giã nhỏ
Bánh bèo,Mỡ hành,10,Mỡ hành phi giòn
Bánh bèo,Thịt ba chỉ,20,Thịt ba chỉ luộc
Bánh bèo,Nước mắm,10,Nước mắm pha chua ngọt
Bánh bèo,Rau mùi,5,Rau mùi xắt nhỏ
Bánh bèo,Ớt,3,Ớt tươi xắt
Bánh bột lọc,Bột năng,50,Tinh bột sắn
Bánh bột lọc,Tôm,40,Tôm đất
Bánh bột lọc,Thịt ba chỉ,30,Thịt ba chỉ xắt
Bánh bột lọc,Nấm mộc nhĩ,15,Mộc nhĩ ngâm mềm
Bánh bột lọc,Nước mắm,15,Nước mắm pha ớt
Bánh bột lọc,Rau mùi,5,Rau mùi xắt
Bánh căn,Bột gạo,60,Bột gạo tráng bánh
Bánh căn,Trứng cút,3,Trứng cút luộc (tùy)
Bánh căn,Tôm,30,Tôm sống xắt
Bánh căn,Mực,20,Mực xắt nhỏ
Bánh căn,Mỡ hành,8,Mỡ hành phi
Bánh căn,Nước mắm,10,Nước mắm nêm
Bánh căn,Rau mùi,3,Rau mùi xắt
Bánh căn,Ớt,2,Ớt tươi
Bánh canh,Bánh canh khô,150,Bánh canh (khô/tươi)
Bánh canh,Xương heo,80,Xương heo để nước dùng
Bánh canh,Giò heo,50,Giò heo luộc
Bánh canh,Cua cà,30,Cua cà vàng
Bánh canh,Hành lá,15,Hành lá xắt
Bánh canh,Ngò rí,10,Ngò rí xắt
Bánh canh,Tiêu đen,2,Tiêu xay
Bánh chưng,Gạo nếp,300,Gạo nếp không rửa
Bánh chưng,Đậu xanh,150,Đậu xanh ngâm
Bánh chưng,Thịt ba chỉ,150,Thịt ba chỉ nấu chín
Bánh chưng,Tiêu đen,2,Tiêu xay
Bánh cuốn,Bột gạo,50,Bột gạo tráng bánh
Bánh cuốn,Thịt lợn,40,Thịt lợn băm nấu chín
Bánh cuốn,Nấm mộc nhĩ,15,Mộc nhĩ ngâm
Bánh cuốn,Hành tây,10,Hành tây phi
Bánh cuốn,Chả lụa,15,Chả lụa thái
Bánh cuốn,Nước mắm,10,Nước mắm pha nhạt
Bánh cuốn,Rau mùi,5,Rau mùi xắt
