TÊN THỨC ĂN,Calories (kcal),Protein (g),Fat (g),Carbonhydrates (g),Chất xơ (g),Cholesterol (mg),Canxi (mg),Photpho (mg),Sắt (mg),Natri (mg),Kali (mg),Beta Caroten (mcg),Vitamin A (mcg),Vitamin B1 (mg),Vitamin C (mg),Loại
Gạo nếp cái,346.0,8.6,1.5,74.9,0.6,0.0,32.0,98.0,1.2,3.0,282.0,0.0,0.0,0.14,0.0,Ngũ cốc và sản phẩm chế biến từ chúng
Gạo tẻ,344.0,7.9,1.0,76.2,0.4,0.0,30.0,104.0,1.3,5.0,241.0,0.0,0.0,0.1,0.0,Ngũ cốc và sản phẩm chế biến từ chúng
Bắp tươi,196.0,4.1,2.3,39.6,1.2,0.0,20.0,187.0,1.5,0.0,0.0,170.0,0.0,0.21,0.0,Ngũ cốc và sản phẩm chế biến từ chúng
Bánh bao,219.0,6.1,0.5,47.5,0.5,0.0,19.0,88.0,1.5,0.0,0.0,0.0,0.0,0.1,0.0,Ngũ cốc và sản phẩm chế biến từ chúng
Bánh tráng mỏng,333.0,4.0,0.2,78.9,0.5,0.0,20.0,65.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,Ngũ cốc và sản phẩm chế biến từ chúng
Bánh đúc,52.0,0.9,0.3,11.3,0.1,0.0,50.0,19.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,Ngũ cốc và sản phẩm chế biến từ chúng
Bánh mì,249.0,7.9,0.8,52.6,0.2,0.0,28.0,164.0,2.0,0.0,0.0,0.0,0.0,0.1,0.0,Ngũ cốc và sản phẩm chế biến từ chúng
Bánh phở,141.0,3.2,0.0,32.1,0.0,0.0,16.0,64.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,Ngũ cốc và sản phẩm chế biến từ chúng
Bún,110.0,1.7,0.0,25.7,0.5,0.0,12.0,32.0,0.2,0.0,0.0,0.0,0.0,0.04,0.0,Ngũ cốc và sản phẩm chế biến từ chúng
Củ sắn,152.0,1.1,0.2,36.4,1.5,0.0,25.0,30.0,1.2,2.0,394.0,0.0,0.0,0.03,34.0,Khoai củ và các sản phẩm chế biến từ chúng
Củ từ,92.0,1.5,0.0,21.5,1.2,0.0,28.0,30.0,0.2,0.0,0.0,0.0,0.0,0.0,2.0,Khoai củ và các sản phẩm chế biến từ chúng
Khoai lang,119.0,0.8,0.2,28.5,1.3,0.0,34.0,49.0,1.0,31.0,210.0,150.0,0.0,0.05,23.0,Khoai củ và các sản phẩm chế biến từ chúng
Khoai lang nghệ,116.0,1.2,0.3,27.1,0.8,0.0,36.0,56.0,0.9,0.0,0.0,1470.0,0.0,0.12,30.0,Khoai củ và các sản phẩm chế biến từ chúng
Khoai môn,109.0,1.5,0.2,25.2,1.2,0.0,44.0,44.0,0.8,0.0,0.0,0.0,0.0,0.09,4.0,Khoai củ và các sản phẩm chế biến từ chúng
Khoai tây,92.0,2.0,0.0,21.0,1.0,0.0,10.0,50.0,1.2,7.0,396.0,29.0,0.0,0.1,10.0,Khoai củ và các sản phẩm chế biến từ chúng
Miến dong,332.0,0.6,0.1,82.2,1.5,0.0,40.0,120.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Khoai củ và các sản phẩm chế biến từ chúng
Bột sắn dây,340.0,0.7,0.0,84.3,0.8,0.0,18.0,20.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,Khoai củ và các sản phẩm chế biến từ chúng
Khoai tây chiên,525.0,2.2,35.4,49.3,6.3,0.0,37.0,130.0,2.1,0.0,0.0,0.0,0.0,0.15,1.0,Khoai củ và các sản phẩm chế biến từ chúng
Cùi dừa già,368.0,4.8,36.0,6.2,4.2,0.0,30.0,154.0,2.0,7.0,555.0,0.0,0.0,0.1,2.0,"Hạt, quả giàu protein, chất béo và chế phẩm"
Cùi dừa non,40.0,3.5,1.7,2.6,3.5,0.0,4.0,53.0,1.0,0.0,0.0,0.0,0.0,0.04,6.0,"Hạt, quả giàu protein, chất béo và chế phẩm"
Đậu đen (hạt),325.0,24.2,1.7,53.3,4.0,0.0,56.0,354.0,6.1,0.0,0.0,30.0,0.0,0.5,3.0,"Hạt, quả giàu protein, chất béo và chế phẩm"
Đậu Hà lan (hạt),342.0,22.2,1.4,60.1,6.0,0.0,57.0,303.0,4.4,9.0,135.0,70.0,0.0,0.77,0.0,"Hạt, quả giàu protein, chất béo và chế phẩm"
